state_name,date,no2,avg_o3,avg_hcho,avg_o2o2
Arizona,2025-09-25,4.07423,16.284038967556423,4.061209970050388,4.061209970050388
Arkansas,2025-09-25,4.16938,16.099728775024413,4.037018966674805,4.037018966674805
Baja California,2025-09-25,4.172186666666667,16.926480594434235,4.240392233196058,4.240392233196058
Baja California Sur,2025-09-25,4.52227,18.31385935269869,4.576252258740938,4.576252258740938
British Columbia,2025-09-25,3.22971,12.869324289519213,3.2099947682742416,3.2099947682742416
California,2025-09-25,3.92391,15.800007203046013,3.951398260453168,3.951398260453168
Chihuahua,2025-09-25,4.34325,17.188929319381714,4.282514750957489,4.282514750957489
Coahuila,2025-09-25,4.31948,17.163991165161132,4.288410186767578,4.288410186767578
Colorado,2025-09-25,3.84621,15.41543674468994,3.8616275446755535,3.8616275446755535
Durango,2025-09-25,4.53647,17.810673395792644,4.3611992200215655,4.3611992200215655
Florida,2025-09-25,4.12721,17.399606432233536,4.360737664358957,4.360737664358957
Georgia,2025-09-25,4.09854,16.436516761779785,4.101646423339844,4.101646423339844
Idaho,2025-09-25,3.63265,14.225310598100934,3.5914458887917653,3.5914458887917653
Illinois,2025-09-25,3.82499,15.403608004252115,3.882388194402059,3.882388194402059
Kansas,2025-09-25,3.84621,15.791741847991943,3.999109506607056,3.999109506607056
Kentucky,2025-09-25,3.84655,15.732930183410645,3.953383088111877,3.953383088111877
Louisiana,2025-09-25,4.31948,17.302920254794035,4.3253583908081055,4.3253583908081055
Manitoba,2025-09-25,3.25432,12.187390439650592,3.047621390398811,3.047621390398811
Michigan,2025-09-25,3.56416,14.31288931104872,3.590927627351549,3.590927627351549
Minnesota,2025-09-25,3.56416,13.813138008117676,3.4424882464938693,3.4424882464938693
Mississippi,2025-09-25,3.96518,16.53813648223877,4.077976226806641,4.077976226806641
Montana,2025-09-25,3.36161,13.586163154015177,3.4081277480492225,3.4081277480492225
Nebraska,2025-09-25,3.84621,14.98588047027588,3.737526035308838,3.737526035308838
Nevada,2025-09-25,3.84621,15.357369661331177,3.823170453310013,3.823170453310013
New Mexico,2025-09-25,4.09854,16.100272602505154,4.002864625718859,4.002864625718859
North Dakota,2025-09-25,3.35197,13.123802502950031,3.31731379032135,3.31731379032135
Oklahoma,2025-09-25,4.09854,16.173366137913295,4.074417454855783,4.074417454855783
Ontario,2025-09-25,3.23203,12.115917533636091,3.024907149374485,3.024907149374485
Oregon,2025-09-25,3.50179,14.36256992816925,3.548474606345682,3.548474606345682
Quintana Roo,2025-09-25,4.5076,18.530119635842063,4.654915636236018,4.654915636236018
Saskatchewan,2025-09-25,3.22993,11.95652141571045,2.991590166091919,2.991590166091919
Sonora,2025-09-25,4.31948,17.30341360304091,4.323593563503689,4.323593563503689
South Dakota,2025-09-25,3.56416,14.094489097595217,3.518488804499308,3.518488804499308
Tamaulipas,2025-09-25,4.4666250000000005,17.859129224504745,4.465907709939139,4.465907709939139
Texas,2025-09-25,4.16539,16.948377064296178,4.228305339813232,4.228305339813232
Utah,2025-09-25,3.84621,15.230376349555122,3.822741296556261,3.822741296556261
Wisconsin,2025-09-25,3.56416,14.343881607055664,3.5799647331237794,3.5799647331237794
Wyoming,2025-09-25,3.56416,14.628426710764566,3.650373578071594,3.650373578071594
Yucatán,2025-09-25,4.53195,18.02484575907389,4.49255092938741,4.49255092938741
