state_name,date,avg_hcho
Aguascalientes,2025-09-25,4.573383331298828
Alabama,2025-09-25,4.17285418510437
Alaska,2025-09-25,2.8560457814414546
Alberta,2025-09-25,2.891225006269372
Arizona,2025-09-25,4.061209970050388
Arkansas,2025-09-25,4.037018966674805
Baja California,2025-09-25,4.240392233196058
Baja California Sur,2025-09-25,4.576252258740938
British Columbia,2025-09-25,3.2099947682742416
California,2025-09-25,3.951398260453168
Campeche,2025-09-25,4.689406553904216
Chihuahua,2025-09-25,4.282514750957489
Coahuila,2025-09-25,4.288410186767578
Colima,2025-09-25,4.654470801353455
Colorado,2025-09-25,3.8616275446755544
Durango,2025-09-25,4.3611992200215655
Florida,2025-09-25,4.360737664358957
Georgia,2025-09-25,4.101646423339844
Guerrero,2025-09-25,4.657569408416748
Hidalgo,2025-09-25,4.559473752975464
Idaho,2025-09-25,3.5914458887917653
Illinois,2025-09-25,3.882388194402059
Indiana,2025-09-25,3.793787956237793
Iowa,2025-09-25,3.6829946041107178
Kansas,2025-09-25,3.9991095066070557
Kentucky,2025-09-25,3.9533830881118774
Louisiana,2025-09-25,4.3253583908081055
Manitoba,2025-09-25,3.047621390398811
Michigan,2025-09-25,3.590927627351549
Michoacán,2025-09-25,4.701472043991089
Minnesota,2025-09-25,3.4424882464938693
Mississippi,2025-09-25,4.077976226806641
Missouri,2025-09-25,3.8634506861368814
Montana,2025-09-25,3.4081277480492225
Nayarit,2025-09-25,4.620063972473145
Nebraska,2025-09-25,3.737526035308838
Nevada,2025-09-25,3.823170453310013
New Mexico,2025-09-25,4.002864625718859
North Dakota,2025-09-25,3.31731379032135
Northwest Territories,2025-09-25,2.612374496459961
Nuevo León,2025-09-25,4.488595247268677
Ohio,2025-09-25,3.697011113166809
Oklahoma,2025-09-25,4.074417454855783
Ontario,2025-09-25,3.024907149374485
Oregon,2025-09-25,3.548474606345682
Puebla,2025-09-25,4.560624599456787
Querétaro,2025-09-25,4.633665084838867
Quintana Roo,2025-09-25,4.654915636236018
San Luis Potosí,2025-09-25,4.573383331298828
Saskatchewan,2025-09-25,2.991590166091919
Sinaloa,2025-09-25,4.499117851257324
Sonora,2025-09-25,4.323593563503689
South Carolina,2025-09-25,4.001290321350098
South Dakota,2025-09-25,3.518488804499308
Tabasco,2025-09-25,4.800857067108154
Tamaulipas,2025-09-25,4.465907709939139
Tennessee,2025-09-25,4.003467500209808
Texas,2025-09-25,4.228305339813232
Utah,2025-09-25,3.822741296556261
Veracruz,2025-09-25,4.600972843170166
Washington,2025-09-25,3.347299575805664
West Virginia,2025-09-25,3.893754005432129
Wisconsin,2025-09-25,3.5799647331237794
Wyoming,2025-09-25,3.6503735780715942
Yucatán,2025-09-25,4.49255092938741
Yukon,2025-09-25,2.406230357385451
Zacatecas,2025-09-25,4.507595539093018
